trade_date,raw_count,candidate_count,top_count,verified_count,buy_count,buy_verified_count,buy_limitup_rate,buy_avg_close_pct,hit_top10,hit_top20,hit_top50,next_trade_date
20260313,5481,15,15,15,2,2,0.5,1.6974,0.1,0.0667,0.0667,20260316
20260316,5480,31,31,31,4,4,0.0,-0.4658,0.0,0.0,0.0323,20260317
20260317,5478,12,12,12,2,2,0.0,-2.5945,0.0,0.0,0.0,20260318
20260318,5479,56,50,50,5,5,0.0,-2.4026,0.0,0.05,0.04,20260319
20260319,5479,17,17,17,3,3,0.0,-0.9353,0.0,0.0,0.0,20260320
20260320,5481,26,26,26,4,4,0.0,-4.5003,0.0,0.0,0.0,20260323
20260323,5483,13,13,12,1,1,0.0,1.2069,0.1,0.0833,0.0833,20260324
20260324,5481,109,50,50,5,5,0.0,0.2108,0.0,0.0,0.0,20260325
20260325,5482,53,50,50,5,5,0.0,-2.9254,0.0,0.05,0.04,20260326
20260326,5481,13,13,13,1,1,1.0,20.0025,0.2,0.1538,0.1538,20260327
20260327,5478,41,41,41,5,5,0.0,-0.573,0.0,0.0,0.0,20260330
20260330,5476,31,31,31,5,5,0.0,-1.741,0.0,0.0,0.0323,20260331
20260331,5482,16,16,16,2,2,0.5,4.2899,0.1,0.0625,0.0625,20260401
20260401,5485,79,50,50,5,5,0.0,0.0082,0.0,0.0,0.0,20260402
20260402,5485,19,19,19,2,2,0.0,1.6294,0.0,0.0,0.0,20260403
20260403,5486,27,27,27,4,4,0.0,-0.8746,0.0,0.05,0.037,20260407
20260407,5484,41,41,41,5,5,0.0,5.2957,0.0,0.0,0.0244,20260408
20260408,5490,288,50,50,5,5,0.0,-1.5042,0.0,0.0,0.0,20260409
20260409,5491,25,25,25,2,2,0.0,-2.1961,0.0,0.0,0.0,20260410
20260410,5495,39,39,39,5,5,0.0,3.8975,0.0,0.1,0.0513,20260413
20260413,5494,41,41,41,5,5,0.0,1.9729,0.0,0.1,0.0488,20260414
20260414,5496,50,50,50,5,5,0.0,-0.0562,0.0,0.0,0.02,20260415
20260415,5494,32,32,32,3,3,0.0,1.4079,0.1,0.1,0.0938,20260416
20260416,5498,55,50,50,5,5,0.0,1.4082,0.0,0.0,0.0,20260417
20260417,5497,54,50,50,5,5,0.0,0.3566,0.0,0.0,0.0,20260420
20260420,5493,50,50,50,5,5,0.0,-3.7887,0.0,0.0,0.02,20260421
20260421,5498,25,25,25,2,2,0.0,-0.959,0.0,0.0,0.0,20260422
20260422,5497,56,50,50,5,5,0.0,-3.6661,0.0,0.05,0.02,20260423
20260423,5494,18,18,18,1,1,0.0,7.0863,0.0,0.0,0.0,20260424
20260424,5496,30,30,29,5,5,0.0,1.3092,0.0,0.05,0.0345,20260427
20260427,5495,68,50,50,5,5,0.0,-3.2907,0.0,0.05,0.02,20260428
20260428,5488,23,23,23,1,1,1.0,20.0,0.1,0.05,0.0435,20260429
20260429,5462,65,50,50,5,5,0.0,-1.0453,0.0,0.0,0.02,20260430
20260430,5460,55,50,50,5,5,0.2,7.0291,0.1,0.05,0.04,20260506
20260506,5490,121,50,50,5,5,0.2,0.887,0.0,0.05,0.08,20260507
20260507,5493,91,50,50,5,5,0.0,0.1594,0.1,0.05,0.02,20260508
20260508,5491,54,50,50,5,5,0.0,2.1137,0.0,0.05,0.02,20260511
20260511,5491,112,50,50,5,5,0.0,0.7654,0.0,0.0,0.0,20260512
20260512,5490,53,50,50,5,5,0.0,2.4716,0.0,0.0,0.04,20260513
20260513,5493,79,50,50,5,5,0.0,-0.0138,0.0,0.05,0.02,20260514
20260514,5493,38,38,38,4,4,0.0,-0.9644,0.0,0.05,0.0263,20260515
20260515,5495,59,50,50,5,5,0.0,0.6341,0.1,0.05,0.02,20260518
20260518,5499,75,50,50,5,5,0.2,2.3299,0.2,0.15,0.1,20260519
20260519,5494,84,50,50,5,5,0.0,-1.7375,0.1,0.1,0.06,20260520
20260520,5498,63,50,50,5,5,0.0,-5.164,0.0,0.0,0.0,20260521
20260521,5501,25,25,25,0,0,0.0,,0.0,0.05,0.04,20260522
20260522,5504,146,50,50,5,5,0.2,2.6366,0.2,0.2,0.12,20260525
20260525,5504,100,50,50,5,5,0.0,-3.6948,0.0,0.0,0.0,20260526
20260526,5504,25,25,25,5,5,0.0,-1.8016,0.0,0.0,0.0,20260527
20260527,5506,28,28,28,3,3,0.3333,4.768,0.1,0.05,0.0357,20260528
20260528,5506,93,50,50,5,5,0.0,-3.0548,0.0,0.05,0.02,20260529
20260529,5505,25,25,25,2,2,0.0,-4.8879,0.0,0.0,0.04,20260601
20260601,5508,51,50,50,4,4,0.0,2.9905,0.0,0.05,0.04,20260602
20260602,5507,79,50,50,5,5,0.0,2.6261,0.0,0.0,0.02,20260603
20260603,5511,69,50,50,5,5,0.2,-0.5351,0.0,0.05,0.04,20260604
20260604,5511,67,50,50,5,5,0.0,-3.7435,0.1,0.05,0.02,20260605
20260605,5514,58,50,50,5,5,0.0,4.333,0.0,0.0,0.06,20260608
20260608,5515,34,34,34,4,4,0.0,-0.7079,0.0,0.0,0.0294,20260609
20260609,5515,151,50,50,5,5,0.0,-0.8868,0.0,0.0,0.0,20260610
20260610,5512,42,42,42,4,4,0.25,6.6796,0.2,0.15,0.0714,20260611
20260611,5511,45,45,44,5,5,0.0,-3.5343,0.0,0.05,0.0227,20260612
20260612,5512,62,50,50,5,5,0.4,3.5912,0.3,0.2,0.08,20260615
20260615,5508,249,50,50,5,5,0.0,2.7309,0.0,0.0,0.0,20260616
20260616,5513,101,50,49,5,5,0.2,3.0968,0.1,0.1,0.0408,20260617
20260617,5509,81,50,50,5,5,0.0,1.7103,0.0,0.0,0.0,20260618
20260618,5507,70,50,50,5,5,0.0,-2.4809,0.0,0.05,0.02,20260622
20260622,5510,131,50,50,5,5,0.0,1.1,0.0,0.0,0.0,20260623
20260623,5513,52,50,50,5,5,0.0,-1.205,0.0,0.0,0.02,20260624
20260624,5512,115,50,50,5,5,0.0,0.1708,0.0,0.0,0.02,20260625
20260625,5511,70,50,49,5,5,0.0,-0.0056,0.1,0.05,0.0612,20260626
20260626,5513,49,49,49,5,5,0.0,1.7749,0.0,0.0,0.0,20260629
20260629,5510,134,50,50,5,5,0.0,6.163,0.1,0.05,0.06,20260630
20260630,5508,208,50,50,5,5,0.0,-0.7723,0.0,0.0,0.02,20260701
20260701,5511,136,50,50,5,5,0.2,-0.1144,0.1,0.05,0.02,20260702
20260702,5517,29,29,29,3,3,0.0,-3.396,0.0,0.0,0.0,20260703
20260703,5516,111,50,50,5,5,0.0,-9.382,0.0,0.0,0.0,20260706
20260706,5517,48,48,48,3,3,0.0,1.4655,0.0,0.0,0.0,20260707
20260707,5517,19,19,19,3,3,0.3333,-1.4082,0.1,0.0526,0.0526,20260708
20260708,5518,35,35,34,3,3,0.0,6.4984,0.0,0.0,0.0,20260709
20260709,5520,151,50,50,5,5,0.0,-2.0986,0.0,0.0,0.02,20260710
